Date,Abia,Abuja,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nassarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2016-01-01,331.6,380.0,380.0,342.5,345.0,380.0,380.0,395.5,370.0,360.0,371.7,356.0,350.0,360.0,342.5,340.0,350.0,360.0,380.0,400.0,360.4,380.1,370.3,373.8,367.1,370.8,400.0,401.7,400.0,390.0,360.0,360.0,361.7,360.0,380.0,380.0,340.0
2016-02-01,331.7,366.7,380.0,396.7,333.3,380.0,380.0,380.0,360.0,378.3,362.5,340.0,353.3,360.0,342.5,340.0,390.0,360.0,380.0,390.1,367.8,400.0,360.6,363.8,376.2,372.1,400.0,390.0,419.5,389.5,360.0,383.4,377.0,366.7,380.0,399.5,355.0
2016-03-01,346.2,360.0,350.0,413.3,333.3,370.0,360.0,380.0,406.0,360.0,363.2,346.7,357.5,360.0,344.2,340.0,365.0,360.0,360.0,390.0,367.1,380.0,362.5,378.9,371.7,370.6,360.0,375.0,418.9,380.0,360.0,383.3,361.0,376.7,380.0,380.0,340.0
2016-04-01,349.0,376.7,360.0,426.7,349.5,400.0,380.0,380.0,373.3,363.3,362.5,352.0,347.5,360.0,400.0,340.0,364.0,390.0,350.0,390.0,368.0,378.3,380.0,363.3,400.0,363.0,360.0,360.0,418.4,380.0,360.0,370.0,375.0,360.0,380.0,380.0,375.0
2016-05-01,331.4,360.0,355.0,341.1,353.3,370.0,380.0,380.0,367.7,378.8,370.5,347.0,340.0,357.8,400.0,340.0,360.0,390.0,366.7,390.0,366.7,376.7,375.0,367.5,365.0,369.9,360.0,360.0,418.3,380.0,398.4,380.0,365.0,368.3,391.7,390.0,407.5
2016-06-01,368.6,370.0,360.0,406.7,414.0,420.0,396.8,406.7,418.0,370.0,370.0,355.0,370.0,400.0,400.0,400.0,402.0,400.0,400.0,430.0,440.0,440.0,395.0,375.0,375.0,375.0,400.0,400.0,417.8,400.0,399.0,394.0,375.0,360.0,370.0,410.0,340.0
2016-07-01,426.7,410.0,430.0,433.3,415.8,420.0,400.0,410.0,415.0,410.0,430.0,437.5,427.5,400.0,400.0,400.0,450.0,394.0,450.0,400.0,418.8,450.0,400.0,418.6,404.4,410.0,410.0,380.0,420.0,400.0,399.0,435.2,420.0,380.0,410.0,410.0,400.0
2016-08-01,372.9,360.0,350.0,370.0,439.7,380.0,370.0,376.8,407.0,366.7,422.5,369.2,372.5,400.0,365.0,340.0,430.0,394.1,373.3,380.0,394.2,385.0,371.0,371.7,386.7,373.8,392.5,369.0,400.0,400.0,399.0,432.0,393.3,380.0,400.0,380.0,400.0
2016-09-01,367.1,374.0,368.8,370.0,379.0,388.9,385.0,366.7,368.0,377.6,369.3,435.8,434.2,372.0,409.0,424.7,433.6,394.0,365.2,398.8,385.5,375.2,373.8,366.4,383.9,368.7,378.7,378.6,404.5,407.0,396.7,378.5,363.9,380.0,446.3,368.8,407.5
2016-10-01,432.5,384.4,363.5,362.9,441.9,400.0,382.9,416.4,487.8,411.8,479.6,447.9,452.4,371.9,405.1,388.1,379.0,394.1,431.0,432.4,409.3,401.6,416.1,392.6,420.7,425.3,411.0,438.6,430.0,414.1,406.7,437.2,410.1,394.1,409.7,411.0,402.0
2016-11-01,362.9,361.0,360.0,363.3,447.1,400.0,450.0,454.0,472.9,363.0,364.0,376.7,363.3,365.0,380.0,400.0,450.0,394.0,376.0,395.0,384.8,383.3,369.2,388.0,362.8,373.1,375.0,366.7,438.0,400.0,406.7,420.0,360.0,393.8,400.0,373.3,430.0
2016-12-01,366.9,373.3,365.0,386.7,432.7,400.0,440.0,452.5,414.0,368.0,361.7,445.0,396.7,393.6,384.7,380.0,397.6,400.0,440.0,440.0,388.9,400.0,426.0,382.5,380.0,373.0,393.3,366.7,437.6,420.0,398.6,434.5,396.7,360.0,420.0,380.0,420.0
2017-01-01,518.3,560.0,510.0,504.0,516.0,500.0,510.0,500.0,502.2,520.0,527.3,512.5,500.0,500.0,506.7,500.0,508.6,500.0,513.3,550.0,514.4,515.0,518.6,505.5,530.0,518.8,510.0,511.1,520.0,500.0,540.0,508.9,517.8,515.0,516.0,500.0,500.0
2017-02-01,600.0,556.0,500.0,600.0,560.0,500.0,600.0,540.0,565.0,600.0,596.9,576.1,606.2,483.3,588.9,500.0,540.0,500.0,500.0,500.0,500.0,600.0,530.0,560.0,485.0,572.0,560.0,490.0,474.5,478.8,475.3,564.0,600.0,500.1,500.0,540.0,600.0
2017-03-01,472.5,520.0,540.0,506.0,503.3,483.3,520.0,480.0,530.0,502.2,500.0,480.0,512.0,516.0,514.0,530.0,500.0,450.0,450.0,470.0,455.7,500.0,489.6,506.7,491.6,516.7,502.5,496.0,480.0,481.1,510.0,540.0,513.3,460.0,490.0,500.0,540.0
2017-04-01,493.3,476.0,500.0,476.0,494.3,470.0,500.0,470.0,445.7,488.0,475.0,477.5,476.7,495.6,496.0,500.0,500.0,500.0,500.0,500.0,476.7,485.0,478.6,460.0,473.3,500.0,500.0,474.3,479.2,482.2,487.5,486.7,492.5,460.0,500.0,500.0,500.0
2017-05-01,506.7,500.0,480.0,518.0,511.4,480.0,513.6,490.0,467.5,510.0,490.8,510.0,505.0,461.0,512.5,520.1,507.5,490.0,460.0,460.0,460.0,470.0,506.2,500.0,469.4,503.3,500.0,460.0,458.9,453.8,464.0,500.0,517.0,460.0,491.2,510.0,486.7
2017-06-01,422.5,408.0,478.0,448.3,445.7,435.0,460.2,460.0,445.7,454.4,415.4,433.5,437.3,414.2,442.0,450.0,468.0,470.0,400.0,423.3,450.0,480.0,401.0,440.0,450.0,470.0,400.0,446.2,416.7,462.0,406.7,416.0,460.0,468.0,460.0,480.0,479.8
