Date,Abia,Abuja,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nassarawa,Niger,Ogun ,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2015-07-01,196.9,200.0,210.4,187.9,201.1,166.7,238.9,208.3,211.7,209.7,177.3,202.4,187.9,167.5,198.3,222.2,221.7,198.8,196.1,219.0,185.7,199.6,191.7,185.7,178.7,205.6,200.0,180.2,172.8,161.7,165.3,200.0,216.7,214.3,237.5,193.9,200.0
2015-08-01,209.4,246.6,259.4,190.3,195.6,216.7,237.5,175.0,233.3,210.3,201.7,206.2,220.4,178.3,209.7,236.1,214.7,202.4,200.9,247.9,233.3,227.1,216.7,205.6,174.2,221.7,205.8,188.9,173.5,170.5,180.6,207.4,208.3,238.4,268.5,251.8,200.0
2015-09-01,210.4,283.3,285.7,227.8,249.0,314.3,250.0,251.9,298.7,237.7,192.4,214.6,205.0,206.9,215.4,245.4,225.8,235.0,232.7,257.9,209.9,246.4,221.7,216.7,216.0,239.4,223.1,213.1,194.9,197.8,193.9,216.7,256.1,241.2,331.2,318.7,242.7
2015-10-01,258.3,195.8,258.3,225.0,206.0,237.5,250.0,220.4,259.3,206.4,211.1,209.5,210.4,184.2,219.4,234.8,228.6,221.1,241.0,273.1,201.3,251.7,215.4,206.2,188.3,216.7,227.8,200.0,180.8,175.0,191.2,197.6,234.8,269.4,311.7,322.2,238.2
2015-11-01,227.1,266.7,245.2,219.4,195.1,230.6,226.7,240.9,341.7,235.9,209.7,215.5,228.3,187.5,225.7,257.6,228.9,240.5,200.5,241.7,205.1,255.8,205.8,207.3,212.9,245.5,239.2,214.6,184.1,176.9,183.3,195.8,224.2,223.8,275.0,331.5,242.7
2015-12-01,304.4,250.0,264.6,238.1,251.1,300.0,251.4,262.5,340.0,242.3,247.8,244.4,250.0,280.7,278.5,291.1,262.8,244.4,261.5,264.3,232.3,250.9,227.3,204.0,266.7,268.1,241.7,238.0,222.5,270.2,240.2,238.1,280.6,222.2,293.8,366.7,270.6
2016-01-01,228.6,233.3,248.1,197.2,228.6,223.8,250.0,259.7,264.3,198.7,206.9,213.0,226.9,189.2,228.2,205.8,226.8,234.6,232.2,253.6,202.6,228.3,264.3,200.0,203.5,218.5,221.3,202.1,194.7,182.9,167.9,220.8,231.5,252.4,283.3,263.3,221.9
2016-02-01,259.3,226.7,230.0,221.2,250.0,202.1,231.0,289.6,266.7,227.7,236.7,231.9,213.3,225.9,251.6,232.3,244.4,345.6,233.3,283.3,200.2,384.9,245.8,188.9,218.5,248.5,785.7,218.5,225.8,354.8,279.2,250.0,231.9,289.6,304.2,374.2,224.6
2016-03-01,238.5,226.7,274.5,213.3,216.7,208.3,200.0,179.6,276.7,250.0,225.0,228.6,210.0,204.5,218.5,219.7,244.2,190.4,232.7,223.6,158.9,196.2,221.7,152.1,178.2,210.0,220.4,196.6,192.4,194.2,196.2,223.8,230.6,247.2,279.2,273.6,410.8
2016-04-01,333.9,186.7,227.1,207.6,195.6,237.5,209.3,192.6,266.7,200.0,206.9,208.3,183.3,184.2,209.9,219.5,225.4,213.0,241.0,263.9,220.2,188.1,261.1,152.8,175.8,201.7,267.7,177.5,209.2,140.0,142.8,190.5,203.7,211.9,291.7,505.0,308.9
2016-05-01,306.5,213.3,257.4,219.4,195.1,341.7,213.0,239.4,245.8,219.4,209.7,208.3,210.6,187.5,205.4,353.8,220.0,200.0,357.1,189.1,154.4,191.3,201.7,177.8,220.8,205.0,203.7,188.3,352.6,264.8,269.7,163.3,216.7,273.8,296.7,235.9,190.2
2016-06-01,304.4,344.4,218.8,243.3,251.1,300.0,230.6,200.0,245.8,242.3,247.8,244.4,209.1,280.7,278.5,353.8,209.7,274.4,261.5,264.3,275.8,202.0,188.3,173.8,160.3,188.9,192.6,165.4,250.8,153.8,150.0,208.3,237.5,211.9,375.0,235.9,211.7
2016-07-01,361.8,323.3,283.3,321.8,297.8,261.9,312.1,297.0,391.7,350.0,301.1,347.6,291.7,323.2,339.8,273.3,343.2,294.4,281.2,325.0,276.9,285.1,333.3,347.9,321.4,290.3,270.4,330.2,283.9,291.7,298.0,310.3,350.0,263.9,310.6,314.3,281.2
2016-08-01,339.7,316.7,250.0,322.2,268.9,266.7,268.5,241.7,322.9,312.5,325.6,333.3,318.2,299.2,324.3,258.3,368.5,275.0,292.8,374.4,223.1,320.6,288.5,244.4,282.5,275.8,287.5,319.5,307.9,288.3,261.4,293.3,291.7,293.5,368.2,313.6,293.8
2016-09-01,316.1,275.0,257.6,276.4,270.6,270.8,300.0,279.7,290.9,297.4,283.2,290.5,273.8,288.4,322.1,268.5,331.7,287.8,279.4,325.6,281.0,293.6,295.6,324.1,284.2,301.7,279.5,301.0,286.7,275.0,270.6,252.4,302.1,283.3,291.0,297.5,276.3
2016-10-01,298.5,296.7,291.7,280.6,273.8,278.3,254.5,261.1,347.2,329.4,283.3,302.4,287.5,277.2,335.3,281.2,340.9,257.8,284.4,316.7,230.2,259.6,298.5,277.3,296.9,306.1,243.3,304.9,275.0,273.4,254.8,258.3,283.3,375.0,370.8,353.7,291.2
2016-11-01,299.9,259.5,273.5,272.2,288.8,278.1,296.7,286.4,256.5,287.2,282.3,281.0,296.5,282.5,289.3,265.8,290.7,272.6,270.4,294.4,265.4,299.1,282.4,272.9,316.2,293.3,254.6,327.9,285.7,272.5,280.3,298.8,287.5,275.0,276.2,287.5,266.1
2016-12-01,281.7,206.2,219.0,241.7,241.7,225.0,231.7,208.3,227.5,266.7,243.6,241.7,233.3,249.2,235.6,208.3,239.7,214.2,219.3,225.0,225.0,210.7,208.3,231.0,250.0,212.8,233.3,246.7,273.7,275.0,243.8,214.2,229.6,204.2,220.8,222.2,218.2
2017-01-01,475.0,423.3,416.7,398.6,422.7,411.9,368.3,428.8,533.3,433.3,438.1,517.1,560.2,445.2,428.2,464.8,409.0,412.3,401.5,446.4,455.6,380.2,419.3,424.1,400.0,421.2,625.0,324.4,404.8,464.3,375.0,270.0,416.7,647.6,470.8,418.3,300.0
2017-02-01,339.4,346.7,366.7,339.4,339.4,385.4,362.8,344.4,368.2,346.7,348.8,355.6,356.2,412.5,355.6,291.7,361.1,320.8,303.2,318.8,286.1,326.5,311.7,329.6,455.6,340.0,333.3,425.4,424.1,412.0,423.3,322.9,356.2,295.2,360.4,366.7,306.9
2017-03-01,306.4,293.3,298.1,315.2,316.7,301.7,323.6,284.7,333.3,339.7,315.2,309.5,315.4,308.3,319.3,273.8,328.5,313.5,331.1,306.0,301.7,316.7,305.6,325.0,311.7,313.3,311.1,302.4,314.2,288.0,267.5,340.5,316.1,328.6,347.2,333.3,271.6
2017-04-01,283.3,278.3,264.6,285.4,296.2,266.7,285.6,281.0,289.6,291.7,284.7,280.6,285.9,291.7,285.6,266.0,294.6,274.3,263.0,287.2,266.7,280.6,274.2,274.0,292.6,278.6,279.5,286.5,287.5,277.7,265.5,277.5,281.1,281.0,285.4,291.7,273.8
